generic_name,source_name,source_url,review_status,source_status,common_uses_semantic_score,safety_warning_semantic_score,missing_common_tokens,missing_common_concepts,missing_safety_tokens,missing_safety_concepts,flags
ramipril,NHS Medicines A to Z,https://www.nhs.uk/medicines/ramipril/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,also;help;kidneys;people;protect,,safe;unsure;what;whether,,review_safety_warning
lisinopril,NHS Medicines A to Z,https://www.nhs.uk/medicines/lisinopril/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,protection,,unsure,,ok
perindopril,NHS Medicines A to Z,https://www.nhs.uk/medicines/perindopril/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,pregnant;unsure,,ok
enalapril,NHS Medicines A to Z,https://www.nhs.uk/medicines/enalapril/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,pregnant;unsure,,ok
losartan,NHS Medicines A to Z,https://www.nhs.uk/medicines/losartan/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,protection,,unsure,,ok
candesartan,NHS Medicines A to Z,https://www.nhs.uk/medicines/candesartan/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,cases;prevention,,unsure,,ok
valsartan,NHS Medicines A to Z,https://www.nhs.uk/medicines/valsartan/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,after;attacks;protection,,pregnant;unsure,,ok
irbesartan,NHS Medicines A to Z,https://www.nhs.uk/medicines/irbesartan/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,people;protection,,unsure,,ok
olmesartan,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/olmesartan-medoxomil/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,,,pregnant;unsure,,ok
bendroflumethiazide,NHS Medicines A to Z,https://www.nhs.uk/medicines/bendroflumethiazide/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,retention,,affect;kidneys;salts;unsure,kidney,review_safety_warning
indapamide,NHS Medicines A to Z,https://www.nhs.uk/medicines/indapamide/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,fluid;retention,,affect;kidneys;salts;unsure,kidney,review_safety_warning
furosemide,NHS Medicines A to Z,https://www.nhs.uk/medicines/furosemide/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,build;fluid,,affect;fluids;kidneys;salts;unsure,kidney,review_safety_warning
spironolactone,NHS Medicines A to Z,https://www.nhs.uk/medicines/spironolactone/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,conditions;related,,kidneys;unsure,,ok
bisoprolol,NHS Medicines A to Z,https://www.nhs.uk/medicines/bisoprolol/,nhs_url_matched_needs_text_review,fetched,0.875,1.0,rhythm,heart_rhythm,especially;pulse;unsure,,ok
atenolol,NHS Medicines A to Z,https://www.nhs.uk/medicines/atenolol/,nhs_url_matched_needs_text_review,fetched,1.0,0.286,problems;rhythm,,asthma;especially;low;pulse;unsure,asthma_breathing,review_safety_warning
metoprolol,NHS Medicines A to Z,https://www.nhs.uk/medicines/metoprolol/,nhs_url_matched_needs_text_review,fetched,1.0,0.286,rhythm,,asthma;especially;low;pulse;unsure,asthma_breathing,review_safety_warning
propranolol,NHS Medicines A to Z,https://www.nhs.uk/medicines/propranolol/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,prevention;tremor,,asthma;diabetes;especially;unsure,asthma_breathing;blood_sugar,review_safety_warning
carvedilol,NHS Medicines A to Z,https://www.nhs.uk/medicines/carvedilol/,nhs_url_matched_needs_text_review,fetched,1.0,0.286,,,asthma;especially;low;pulse;unsure,asthma_breathing,review_safety_warning
isosorbide mononitrate,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/isosorbide-mononitrate/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,chest;pain;preventing,,dysfunction;erectile,,ok
glyceryl trinitrate,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/glyceryl-trinitrate/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,preventing;relieving,,improve,,ok
warfarin,NHS Medicines A to Z,https://www.nhs.uk/medicines/warfarin/,nhs_url_matched_needs_text_review,fetched,1.0,0.4,preventing;treating,,interact;monitoring;needs,,ok
apixaban,NHS Medicines A to Z,https://www.nhs.uk/medicines/apixaban/,nhs_url_matched_needs_text_review,fetched,1.0,0.8,preventing;treating,,increase,,ok
rivaroxaban,NHS Medicines A to Z,https://www.nhs.uk/medicines/rivaroxaban/,nhs_url_matched_needs_text_review,fetched,1.0,0.6,preventing;treating,,bleeding;increase,,ok
edoxaban,NHS Medicines A to Z,https://www.nhs.uk/medicines/edoxaban/,nhs_url_matched_needs_text_review,fetched,1.0,0.6,preventing;treating,,bleeding;increase,,ok
dabigatran,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/dabigatran-etexilate/,bnf_url_matched_needs_text_review,fetched,1.0,0.8,blood;clots;preventing;treating,,taking,,ok
clopidogrel,NHS Medicines A to Z,https://www.nhs.uk/medicines/clopidogrel/,nhs_url_matched_needs_text_review,fetched,1.0,0.6,after;problems;reducing;vessel,,bleeding;increase,,ok
ticagrelor,NHS Medicines A to Z,https://www.nhs.uk/medicines/ticagrelor/,nhs_url_matched_needs_text_review,fetched,1.0,0.4,after;problems;reducing;risk,,bleeding;increase;risk,,ok
metformin,NHS Medicines A to Z,https://www.nhs.uk/medicines/metformin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,blood;control;helping;sugar,,advice;follow;medical,,review_safety_warning
gliclazide,NHS Medicines A to Z,https://www.nhs.uk/medicines/gliclazide/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,helping;lower,,advice;followed;happen;low;medical;should,,ok
glimepiride,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/glimepiride/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,helping;lower;sugar,,followed;happen;low;medical;sugar,,ok
sitagliptin,NHS Medicines A to Z,https://www.nhs.uk/medicines/sitagliptin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,blood;control;helping;sugar,,advice;follow;medical,,review_safety_warning
linagliptin,NHS Medicines A to Z,https://www.nhs.uk/medicines/linagliptin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,blood;control;helping;sugar,,advice;follow;medical,,review_safety_warning
empagliflozin,NHS Medicines A to Z,https://www.nhs.uk/medicines/empagliflozin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,people;protection,,dehydrated;unsure;unwell,,review_safety_warning
dapagliflozin,NHS Medicines A to Z,https://www.nhs.uk/medicines/dapagliflozin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,people;protection,,dehydrated;unsure;unwell,,review_safety_warning
canagliflozin,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/canagliflozin/,bnf_url_matched_needs_text_review,fetched,1.0,0.0,helping;sugar,,dehydrated;unsure;unwell,,review_safety_warning
insulin glargine,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/insulin-glargine/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,replacing;supplementing,,cause;clinician;confirmed;dosing;low;sugar,,ok
insulin aspart,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/insulin-aspart/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,around;replacing;supplementing,,cause;clinician;confirmed;dosing;low;sugar,,ok
semaglutide,NHS Medicines A to Z,https://www.nhs.uk/medicines/semaglutide/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,products,,differ;indications;products;unsure,,review_safety_warning
dulaglutide,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/dulaglutide/,bnf_url_matched_needs_text_review,fetched,1.0,0.0,helping;sugar,,unsure,,review_safety_warning
liraglutide,NHS Medicines A to Z,https://www.nhs.uk/medicines/liraglutide/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,products,,differ;indications;products;unsure,,review_safety_warning
levothyroxine,NHS Medicines A to Z,https://www.nhs.uk/medicines/levothyroxine/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,unsure,,review_safety_warning
carbimazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/carbimazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,advice;bruising;fever;medical;mouth;seek;sore;throat;ulcers;unusual;urgently,heartburn_reflux;pain_fever,review_safety_warning
propylthiouracil,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/propylthiouracil/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,overactive,,bruising;sore;throat;unusual;urgently,,ok
prednisolone,NHS Medicines A to Z,https://www.nhs.uk/medicines/prednisolone/,nhs_url_matched_needs_text_review,fetched,0.667,0.0,allergies;flare;immune;inflammation;ups,inflammation,clinician;everyone;says;should;steroids;stopped;suddenly;suitable;unless,,review_safety_warning
hydrocortisone,NHS Medicines A to Z,https://www.nhs.uk/medicines/hydrocortisone/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,depending;form,,differ;directed;strengths;unsure,,review_safety_warning
dexamethasone,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/dexamethasone/,bnf_url_matched_needs_text_review,fetched,1.0,0.2,anti;sickness;uses,,everyone;interact;steroids;suitable,,review_safety_warning
beclometasone,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/beclometasone-dipropionate/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,allergy;form,,directed;products,,ok
budesonide,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/budesonide/,bnf_url_matched_needs_text_review,fetched,1.0,0.75,bowel;form,,directed,,ok
fluticasone,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/fluticasone/,bnf_url_matched_needs_text_review,fetched,1.0,0.6,allergy;depending;form;inflammation,,directed;strengths,,ok
salbutamol,NHS Medicines A to Z,https://www.nhs.uk/medicines/salbutamol-inhaler/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,breathing;difficulty;relieving;such;wheezing,,breathing;difficulty;help;seek;severe;urgent,,ok
terbutaline,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/terbutaline-sulfate/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,breathing;difficulty;relieving;such;wheezing,,breathing;difficulty,,ok
salmeterol,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/salmeterol/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,preventing,,breathing;difficulty;sudden,,ok
formoterol,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/formoterol-fumarate/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,preventing,,breathing;difficulty;part;plan;reliever;sudden,,ok
tiotropium,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/tiotropium/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,control;sometimes,,breathing;difficulty;sudden,,ok
ipratropium,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/ipratropium-bromide/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,breathing;copd;difficulty;wheezing,,breathing;difficulty,,ok
montelukast,NHS Medicines A to Z,https://www.nhs.uk/medicines/montelukast/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,allergy;people;prevention,,advice;behaviour;changes;medical;mood;seek;sleep,depression_anxiety,review_safety_warning
theophylline,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/theophylline/,bnf_url_matched_needs_text_review,fetched,1.0,0.667,control;people,,levels;need,,ok
cetirizine,NHS Medicines A to Z,https://www.nhs.uk/medicines/cetirizine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,itching;nose;runny;sneezing;such,,especially;medical;unsure,,ok
loratadine,NHS Medicines A to Z,https://www.nhs.uk/medicines/loratadine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,eyes;itchy;nose;runny;sneezing;such,,especially;liver;problems;unsure,,ok
fexofenadine,NHS Medicines A to Z,https://www.nhs.uk/medicines/fexofenadine/,nhs_url_matched_needs_text_review,fetched,1.0,0.5,eyes;nose;runny;sneezing;such,,children;continue;especially;kidney;problems;unsure,kidney,ok
chlorphenamine,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/chlorphenamine-maleate/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,hives;itching;symptoms,,especially;unsure,,ok
diphenhydramine,NHS Medicines A to Z,https://www.nhs.uk/medicines/diphenhydramine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,depending;product,,alcohol;cause;drowsiness;may;mix;unsure,,ok
promethazine,NHS Medicines A to Z,https://www.nhs.uk/medicines/promethazine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,allergies;depending;nausea;product;short;term;travel,,alcohol;avoid;cause;drowsiness;may;unsure,,ok
omeprazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/omeprazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.667,helping;reducing,,continue,,ok
lansoprazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/lansoprazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,helping;reducing,,continue;symptoms,,review_safety_warning
esomeprazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/esomeprazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,helping;reducing;ulcers,,continue;symptoms,,review_safety_warning
pantoprazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/pantoprazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,helping;lowering,,continue;symptoms,,review_safety_warning
famotidine,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/famotidine/,bnf_url_matched_needs_text_review,fetched,1.0,0.667,acid;helping;lowering;stomach;ulcers,,continue,,ok
ranitidine,NHS Medicines A to Z,https://www.nhs.uk/medicines/ranitidine/,nhs_url_matched_needs_text_review,fetched,1.0,0.286,lowering,,many;places;restricted;using;withdrawn,,review_safety_warning
gaviscon,NHS Medicines A to Z,https://www.nhs.uk/medicines/gaviscon/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,,,continue;symptoms,,review_safety_warning
calcium carbonate,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/calcium-carbonate/,bnf_url_matched_needs_text_review,fetched,0.5,0.333,depending;heartburn;indigestion;supplementation,heartburn_reflux,continue;symptoms,,review_safety_warning
senna,NHS Medicines A to Z,https://www.nhs.uk/medicines/senna/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,,,blood;continues;pain;severe;stomach;stool;vomiting,nausea_vomiting;pain_fever,review_safety_warning
lactulose,NHS Medicines A to Z,https://www.nhs.uk/medicines/lactulose/,nhs_url_matched_needs_text_review,fetched,1.0,0.5,confusion;sometimes,,continue;diabetes;symptoms,blood_sugar,ok
macrogol,NHS Medicines A to Z,https://www.nhs.uk/medicines/macrogol/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,continues;pain;severe;stool,,ok
bisacodyl,NHS Medicines A to Z,https://www.nhs.uk/medicines/bisacodyl/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,,,blood;continues;pain;severe;stomach;stool;vomiting,nausea_vomiting;pain_fever,review_safety_warning
loperamide,NHS Medicines A to Z,https://www.nhs.uk/medicines/loperamide/,nhs_url_matched_needs_text_review,fetched,1.0,0.5,short;term,,blood;continues;dehydration;fever;pain;severe;there,pain_fever,ok
ondansetron,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/ondansetron/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,,,heart;interacting;problems;rhythm,,ok
metoclopramide,NHS Medicines A to Z,https://www.nhs.uk/medicines/metoclopramide/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,emptying;problems;stomach,,cause;everyone;movement;suitable,,ok
domperidone,NHS Medicines A to Z,https://www.nhs.uk/medicines/domperidone/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,emptying;problems;stomach,,heart;interactions;rhythm;risks;supplied,heart_rhythm,review_safety_warning
hyoscine hydrobromide,NHS Medicines A to Z,https://www.nhs.uk/medicines/hyoscine-hydrobromide/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,nausea,,blurred;cause;drowsiness;may;unsure;vision,drowsiness,review_safety_warning
mebeverine,NHS Medicines A to Z,https://www.nhs.uk/medicines/mebeverine/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,continue;new;severe;symptoms,,review_safety_warning
amoxicillin,NHS Medicines A to Z,https://www.nhs.uk/medicines/amoxicillin/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,allergies;antibiotics;serious;viral,,ok
co-amoxiclav,NHS Medicines A to Z,https://www.nhs.uk/medicines/co-amoxiclav/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,allergies;viral,,ok
flucloxacillin,NHS Medicines A to Z,https://www.nhs.uk/medicines/flucloxacillin/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,bacterial;soft;tissue,,allergies;antibiotics;serious;viral,,ok
phenoxymethylpenicillin,NHS Medicines A to Z,https://www.nhs.uk/medicines/phenoxymethylpenicillin/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,bacterial;such;throat,,allergies;antibiotics;serious;viral,,ok
clarithromycin,NHS Medicines A to Z,https://www.nhs.uk/medicines/clarithromycin/,nhs_url_matched_needs_text_review,fetched,1.0,0.333,,,interactions;possible,,review_safety_warning
azithromycin,NHS Medicines A to Z,https://www.nhs.uk/medicines/azithromycin/,nhs_url_matched_needs_text_review,fetched,1.0,0.25,,,heart;problems;rhythm,heart_rhythm,review_safety_warning
doxycycline,NHS Medicines A to Z,https://www.nhs.uk/medicines/doxycycline/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,prevention;uses,,using,,ok
nitrofurantoin,NHS Medicines A to Z,https://www.nhs.uk/medicines/nitrofurantoin/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,pregnant;problems,,ok
trimethoprim,NHS Medicines A to Z,https://www.nhs.uk/medicines/trimethoprim/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,pregnant,,ok
cefalexin,NHS Medicines A to Z,https://www.nhs.uk/medicines/cefalexin/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,bacterial,,allergies;antibiotics;serious;treat;viral,,ok
ciprofloxacin,NHS Medicines A to Z,https://www.nhs.uk/medicines/ciprofloxacin/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,heart;interaction;mood;nerve;rhythm;risks;tendon,depression_anxiety;heart_rhythm,review_safety_warning
metronidazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/metronidazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,parasitic,,advised;alcohol;avoid;interactions,,review_safety_warning
clindamycin,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/clindamycin/,bnf_url_matched_needs_text_review,fetched,1.0,1.0,,,medical,,ok
mupirocin,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/mupirocin/,bnf_url_matched_needs_text_review,fetched,1.0,0.0,,,directed;spread;symptoms;worsen,,review_safety_warning
acyclovir,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/aciclovir/,bnf_url_matched_needs_text_review,fetched,1.0,0.5,such,,directed;symptoms,,ok
valaciclovir,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/valaciclovir/,bnf_url_matched_needs_text_review,fetched,1.0,0.0,cold;shingles;sores;such;virus,,unsure,,review_safety_warning
oseltamivir,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/oseltamivir/,bnf_url_matched_needs_text_review,fetched,0.5,0.429,people,,substitute;supplied;unwell;urgent,,ok
fluconazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/fluconazole/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,such,,interactions;possible;pregnant,,ok
clotrimazole,NHS Medicines A to Z,https://www.nhs.uk/medicines/clotrimazole/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,depending;product;thrush,,continue;symptoms;unsure,,review_safety_warning
miconazole,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/miconazole/,bnf_url_matched_needs_text_review,fetched,1.0,0.25,depending;product;vagina,,continue;taking;warfarin,,review_safety_warning
terbinafine,NHS Medicines A to Z,https://www.nhs.uk/medicines/terbinafine/,nhs_url_matched_needs_text_review,fetched,1.0,0.0,,,should;tablets;taken;unsure,,review_safety_warning
sertraline,NHS Medicines A to Z,https://www.nhs.uk/medicines/sertraline/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,changes;harm;seek;self;unsure,,ok
fluoxetine,NHS Medicines A to Z,https://www.nhs.uk/medicines/fluoxetine-prozac/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,anxiety;related,,harm;seek;self;severe;unsure,,ok
citalopram,NHS Medicines A to Z,https://www.nhs.uk/medicines/citalopram/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,changes;harm;help;seek;self;severe;thoughts;unsure;urgent,,ok
escitalopram,NHS Medicines A to Z,https://www.nhs.uk/medicines/escitalopram/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,disorders,,changes;harm;mood;seek;self;severe;thoughts;unsure;urgent,,ok
paroxetine,NHS Medicines A to Z,https://www.nhs.uk/medicines/paroxetine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,changes;harm;mood;seek;self;severe;thoughts;unsure;urgent,,ok
venlafaxine,NHS Medicines A to Z,https://www.nhs.uk/medicines/venlafaxine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,changes;harm;help;mood;seek;self;severe;thoughts;unsure;urgent,,ok
duloxetine,NHS Medicines A to Z,https://www.nhs.uk/medicines/duloxetine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,,,changes;harm;mood;seek;self;severe;thoughts;unsure;urgent,,ok
mirtazapine,NHS Medicines A to Z,https://www.nhs.uk/medicines/mirtazapine/,nhs_url_matched_needs_text_review,fetched,1.0,0.5,,,cause;changes;drowsiness;harm;mood;seek;self;severe;thoughts;urgent;weight,drowsiness,ok
trazodone,NHS Medicines A to Z,https://www.nhs.uk/medicines/trazodone/,nhs_url_matched_needs_text_review,fetched,1.0,0.25,problems;sleep;sometimes,,cause;drowsiness;interactions,drowsiness,review_safety_warning
quetiapine,NHS Medicines A to Z,https://www.nhs.uk/medicines/quetiapine/,nhs_url_matched_needs_text_review,fetched,1.0,1.0,add;treatment;uses,,monitoring;needs,,ok
olanzapine,NHS Medicines A to Z,https://www.nhs.uk/medicines/olanzapine/,nhs_url_matched_needs_text_review,fetched,0.857,0.5,uses,,cause;drowsiness;metabolic;monitoring;need,drowsiness,ok
