generic_name,brand_names,common_uses,safety_warning,source_name,source_url,last_checked,review_status,notes
verapamil,Securon;Calan,high blood pressure angina and some heart rhythm problems,Take only if prescribed and ask a pharmacist or doctor if unsure especially with heart rhythm medicines,NHS Medicines A to Z,https://www.nhs.uk/medicines/verapamil/,12/06/2026,nhs_url_matched_needs_text_review,Calcium channel blocker
ramipril,Tritace;Altace,high blood pressure and heart failure. It can also help protect the heart and kidneys in some people,Take only if prescribed. Ask a pharmacist or doctor if you are unsure what this medicine is or whether it is safe for you. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/ramipril/,12/06/2026,nhs_url_matched_needs_text_review,ACE inhibitor
lisinopril,Zestril;Prinivil,high blood pressure heart failure and kidney protection in some people,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/lisinopril/,12/06/2026,nhs_url_matched_needs_text_review,ACE inhibitor
perindopril,Coversyl,high blood pressure and heart failure,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/perindopril/,12/06/2026,nhs_url_matched_needs_text_review,ACE inhibitor
enalapril,Innovace;Vasotec,high blood pressure and heart failure,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/enalapril/,12/06/2026,nhs_url_matched_needs_text_review,ACE inhibitor
losartan,Cozaar,high blood pressure heart failure and kidney protection in some people,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/losartan/,12/06/2026,nhs_url_matched_needs_text_review,ARB
candesartan,Amias;Atacand,high blood pressure heart failure and migraine prevention in some cases,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/candesartan/,12/06/2026,nhs_url_matched_needs_text_review,ARB
valsartan,Diovan,high blood pressure heart failure and heart protection after some heart attacks,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/valsartan/,12/06/2026,nhs_url_matched_needs_text_review,ARB
irbesartan,Aprovel;Avapro,high blood pressure and kidney protection in some people with diabetes,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,NHS Medicines A to Z,https://www.nhs.uk/medicines/irbesartan/,12/06/2026,nhs_url_matched_needs_text_review,ARB
olmesartan,Olmetec;Benicar,high blood pressure,Take only if prescribed. Ask a pharmacist or doctor if pregnant or unsure,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/olmesartan-medoxomil/,12/06/2026,bnf_url_matched_needs_text_review,ARB
bendroflumethiazide,Bendroflumethiazide,high blood pressure and fluid retention,Take only if prescribed. Ask a pharmacist or doctor if unsure because it can affect salts and kidneys. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/bendroflumethiazide/,12/06/2026,nhs_url_matched_needs_text_review,Thiazide diuretic
indapamide,Natrilix,high blood pressure and fluid retention,Take only if prescribed. Ask a pharmacist or doctor if unsure because it can affect salts and kidneys. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/indapamide/,12/06/2026,nhs_url_matched_needs_text_review,Thiazide-like diuretic
furosemide,Lasix,fluid build-up and high blood pressure,Take only if prescribed. Ask a pharmacist or doctor if unsure because it can affect fluids salts and kidneys. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/furosemide/,12/06/2026,nhs_url_matched_needs_text_review,Loop diuretic
spironolactone,Aldactone,heart failure fluid build-up high blood pressure and some hormone-related conditions,Take only if prescribed. Ask a pharmacist or doctor if unsure because it can affect potassium and kidneys,NHS Medicines A to Z,https://www.nhs.uk/medicines/spironolactone/,12/06/2026,nhs_url_matched_needs_text_review,Potassium-sparing diuretic
bisoprolol,Cardicor;Congescor,high blood pressure angina heart failure and some heart rhythm problems,Take only if prescribed. Ask a pharmacist or doctor if unsure especially with asthma low pulse or heart conditions,NHS Medicines A to Z,https://www.nhs.uk/medicines/bisoprolol/,12/06/2026,nhs_url_matched_needs_text_review,Beta blocker
atenolol,Tenormin,high blood pressure angina and some heart rhythm problems,Take only if prescribed. Ask a pharmacist or doctor if unsure especially with asthma low pulse or heart conditions. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/atenolol/,12/06/2026,nhs_url_matched_needs_text_review,Beta blocker
metoprolol,Lopresor;Toprol XL,high blood pressure angina heart failure and some heart rhythm problems,Take only if prescribed. Ask a pharmacist or doctor if unsure especially with asthma low pulse or heart conditions. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/metoprolol/,12/06/2026,nhs_url_matched_needs_text_review,Beta blocker
propranolol,Inderal,heart conditions anxiety symptoms migraine prevention and tremor,Take only if prescribed. Ask a pharmacist or doctor if unsure especially with asthma diabetes or heart conditions. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/propranolol/,12/06/2026,nhs_url_matched_needs_text_review,Beta blocker
carvedilol,Eucardic;Coreg,heart failure high blood pressure and angina,Take only if prescribed. Ask a pharmacist or doctor if unsure especially with asthma low pulse or heart conditions. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/carvedilol/,12/06/2026,nhs_url_matched_needs_text_review,Beta blocker
isosorbide mononitrate,Monomil;Imdur,preventing angina chest pain,Take only if prescribed. Ask a pharmacist or doctor if using medicines for erectile dysfunction or blood pressure,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/isosorbide-mononitrate/,12/06/2026,bnf_url_matched_needs_text_review,Nitrate
glyceryl trinitrate,GTN;Nitrolingual,relieving or preventing angina chest pain,Use only if prescribed or supplied for you. Seek urgent help for chest pain that does not improve.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/glyceryl-trinitrate/,12/06/2026,bnf_url_matched_needs_text_review,Nitrate
warfarin,Marevan,preventing and treating blood clots,Take only if prescribed. This medicine needs monitoring and can interact with many medicines and foods.,NHS Medicines A to Z,https://www.nhs.uk/medicines/warfarin/,12/06/2026,nhs_url_matched_needs_text_review,Anticoagulant
apixaban,Eliquis,preventing and treating blood clots,Take only if prescribed. Ask a pharmacist or doctor before taking other medicines because bleeding risk can increase,NHS Medicines A to Z,https://www.nhs.uk/medicines/apixaban/,12/06/2026,nhs_url_matched_needs_text_review,Anticoagulant
rivaroxaban,Xarelto,preventing and treating blood clots,Take only if prescribed. Ask a pharmacist or doctor before taking other medicines because bleeding risk can increase,NHS Medicines A to Z,https://www.nhs.uk/medicines/rivaroxaban/,12/06/2026,nhs_url_matched_needs_text_review,Anticoagulant
edoxaban,Lixiana;Savaysa,preventing and treating blood clots,Take only if prescribed. Ask a pharmacist or doctor before taking other medicines because bleeding risk can increase,NHS Medicines A to Z,https://www.nhs.uk/medicines/edoxaban/,12/06/2026,nhs_url_matched_needs_text_review,Anticoagulant
dabigatran,Pradaxa,preventing and treating blood clots,Take only if prescribed. Ask a pharmacist or doctor before taking other medicines because bleeding risk can increase,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/dabigatran-etexilate/,12/06/2026,bnf_url_matched_needs_text_review,Anticoagulant
clopidogrel,Plavix,reducing the risk of blood clots after some heart or blood vessel problems,Take only if prescribed. Ask a pharmacist or doctor before taking other medicines because bleeding risk can increase,NHS Medicines A to Z,https://www.nhs.uk/medicines/clopidogrel/,12/06/2026,nhs_url_matched_needs_text_review,Antiplatelet
ticagrelor,Brilique;Brilinta,reducing the risk of blood clots after some heart problems,Take only if prescribed. Ask a pharmacist or doctor before taking other medicines because bleeding risk can increase,NHS Medicines A to Z,https://www.nhs.uk/medicines/ticagrelor/,12/06/2026,nhs_url_matched_needs_text_review,Antiplatelet
metformin,Glucophage,type 2 diabetes and helping control blood sugar,Take only if prescribed and follow medical advice. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/metformin/,12/06/2026,nhs_url_matched_needs_text_review,Biguanide antidiabetic
gliclazide,Diamicron,type 2 diabetes by helping lower blood sugar,Take only if prescribed. Low blood sugar can happen and medical advice should be followed.,NHS Medicines A to Z,https://www.nhs.uk/medicines/gliclazide/,12/06/2026,nhs_url_matched_needs_text_review,Sulfonylurea
glimepiride,Amaryl,type 2 diabetes by helping lower blood sugar,Take only if prescribed. Low blood sugar can happen and medical advice should be followed.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/glimepiride/,12/06/2026,bnf_url_matched_needs_text_review,Sulfonylurea
sitagliptin,Januvia,type 2 diabetes by helping control blood sugar,Take only if prescribed and follow medical advice. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/sitagliptin/,12/06/2026,nhs_url_matched_needs_text_review,DPP-4 inhibitor
linagliptin,Trajenta;Tradjenta,type 2 diabetes by helping control blood sugar,Take only if prescribed and follow medical advice. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/linagliptin/,12/06/2026,nhs_url_matched_needs_text_review,DPP-4 inhibitor
empagliflozin,Jardiance,type 2 diabetes heart failure and kidney protection in some people,Take only if prescribed. Ask a pharmacist or doctor if unwell dehydrated or unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/empagliflozin/,12/06/2026,nhs_url_matched_needs_text_review,SGLT2 inhibitor
dapagliflozin,Forxiga;Farxiga,type 2 diabetes heart failure and kidney protection in some people,Take only if prescribed. Ask a pharmacist or doctor if unwell dehydrated or unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/dapagliflozin/,12/06/2026,nhs_url_matched_needs_text_review,SGLT2 inhibitor
canagliflozin,Invokana,type 2 diabetes by helping lower blood sugar,Take only if prescribed. Ask a pharmacist or doctor if unwell dehydrated or unsure. See the patient information leaflet for additional safety information.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/canagliflozin/,12/06/2026,bnf_url_matched_needs_text_review,SGLT2 inhibitor
insulin glargine,Lantus;Toujeo;Abasaglar,diabetes by replacing or supplementing insulin,Use only if prescribed. Insulin can cause low blood sugar and dosing must be confirmed by a clinician.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/insulin-glargine/,12/06/2026,bnf_url_matched_needs_text_review,Long-acting insulin
insulin aspart,NovoRapid;Trurapi;Fiasp,diabetes by replacing or supplementing insulin around meals,Use only if prescribed. Insulin can cause low blood sugar and dosing must be confirmed by a clinician.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/insulin-aspart/,12/06/2026,bnf_url_matched_needs_text_review,Rapid-acting insulin
semaglutide,Ozempic;Wegovy;Rybelsus,type 2 diabetes and weight management in some prescribed products,Use only if prescribed. Ask a pharmacist or doctor if unsure because products and indications differ. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/semaglutide/,12/06/2026,nhs_url_matched_needs_text_review,GLP-1 receptor agonist
dulaglutide,Trulicity,type 2 diabetes by helping control blood sugar,Use only if prescribed and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/dulaglutide/,12/06/2026,bnf_url_matched_needs_text_review,GLP-1 receptor agonist
liraglutide,Victoza;Saxenda,type 2 diabetes and weight management in some prescribed products,Use only if prescribed. Ask a pharmacist or doctor if unsure because products and indications differ. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/liraglutide/,12/06/2026,nhs_url_matched_needs_text_review,GLP-1 receptor agonist
levothyroxine,Eltroxin;Levoxyl;Synthroid,underactive thyroid by replacing thyroid hormone,Take only if prescribed and ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/levothyroxine/,12/06/2026,nhs_url_matched_needs_text_review,Thyroid hormone
carbimazole,Neo-Mercazole,overactive thyroid,Take only if prescribed. Seek medical advice urgently for fever sore throat mouth ulcers or unusual bruising. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/carbimazole/,12/06/2026,nhs_url_matched_needs_text_review,Antithyroid medicine
propylthiouracil,PTU,overactive thyroid,Take only if prescribed. Seek medical advice urgently for fever sore throat jaundice or unusual bruising.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/propylthiouracil/,12/06/2026,bnf_url_matched_needs_text_review,Antithyroid medicine
prednisolone,Deltacortril,inflammation allergies asthma flare-ups and some immune conditions,Take only if prescribed. Steroids are not suitable for everyone and should not be stopped suddenly unless a clinician says so. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/prednisolone/,12/06/2026,nhs_url_matched_needs_text_review,Corticosteroid
hydrocortisone,Efcortelan;Solu-Cortef,inflammation adrenal replacement and skin inflammation depending on form,Use only as directed. Steroid forms and strengths differ so ask a pharmacist or doctor if unsure. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/hydrocortisone/,12/06/2026,nhs_url_matched_needs_text_review,Corticosteroid
dexamethasone,Decadron;Etacortilen,inflammation immune conditions and some cancer or anti-sickness uses,Take only if prescribed. Steroids are not suitable for everyone and can interact with other medicines. See the patient information leaflet for additional safety information.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/dexamethasone/,12/06/2026,bnf_url_matched_needs_text_review,Corticosteroid
beclometasone,Clenil;Qvar;Beconase,asthma COPD nasal allergy or skin inflammation depending on form,Use only as prescribed or directed. Inhaler nasal and skin products are different.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/beclometasone-dipropionate/,12/06/2026,bnf_url_matched_needs_text_review,Corticosteroid
budesonide,Pulmicort;Entocort;Budenofalk,asthma COPD nasal allergy bowel inflammation or other inflammatory conditions depending on form,Use only as prescribed or directed. Different forms are used for different conditions.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/budesonide/,12/06/2026,bnf_url_matched_needs_text_review,Corticosteroid
fluticasone,Flixotide;Flonase;Flovent,asthma COPD nasal allergy or skin inflammation depending on form,Use only as prescribed or directed. Different forms and strengths are used for different conditions.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/fluticasone/,12/06/2026,bnf_url_matched_needs_text_review,Corticosteroid
salbutamol,Ventolin;ProAir;Airomir,relieving wheezing and breathing difficulty in conditions such as asthma,Use only as prescribed and seek urgent help for severe breathing difficulty.,NHS Medicines A to Z,https://www.nhs.uk/medicines/salbutamol-inhaler/,12/06/2026,nhs_url_matched_needs_text_review,Reliever inhaler
terbutaline,Bricanyl;Terbutaline,relieving wheezing and breathing difficulty in conditions such as asthma,Use only as prescribed and seek urgent help for severe breathing difficulty.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/terbutaline-sulfate/,12/06/2026,bnf_url_matched_needs_text_review,Reliever inhaler
salmeterol,Serevent;Soltel,preventing asthma or COPD symptoms as a long-acting inhaler,Use only as prescribed. It is not for sudden severe breathing difficulty.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/salmeterol/,12/06/2026,bnf_url_matched_needs_text_review,LABA inhaler
formoterol,Oxis;Foradil;Atimos,preventing asthma or COPD symptoms as a long-acting inhaler,Use only as prescribed. It is not for sudden severe breathing difficulty unless part of a prescribed reliever plan.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/formoterol-fumarate/,12/06/2026,bnf_url_matched_needs_text_review,LABA inhaler
tiotropium,Spiriva;Tiogiva;Trokide,COPD and sometimes asthma control,Use only as prescribed. It is not for sudden severe breathing difficulty.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/tiotropium/,12/06/2026,bnf_url_matched_needs_text_review,LAMA inhaler
ipratropium,Atrovent,wheezing and breathing difficulty in COPD or asthma,Use only as prescribed. Seek urgent help for severe breathing difficulty.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/ipratropium-bromide/,12/06/2026,bnf_url_matched_needs_text_review,SAMA inhaler
montelukast,Singulair,asthma prevention and allergy symptoms in some people,Take only if prescribed. Seek medical advice for mood sleep or behaviour changes. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/montelukast/,12/06/2026,nhs_url_matched_needs_text_review,Leukotriene receptor antagonist
theophylline,Uniphyllin;Theo-24,asthma or COPD control in some people,Take only if prescribed. Blood levels and interactions may need monitoring.,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/theophylline/,12/06/2026,bnf_url_matched_needs_text_review,Methylxanthine
cetirizine,Zirtek;Zyrtec,allergy symptoms such as sneezing itching and runny nose,Ask a pharmacist if unsure especially for children pregnancy or other medical conditions,NHS Medicines A to Z,https://www.nhs.uk/medicines/cetirizine/,12/06/2026,nhs_url_matched_needs_text_review,Non-drowsy antihistamine
loratadine,Clarityn;Claritin,allergy symptoms such as sneezing itchy eyes and runny nose,Ask a pharmacist if unsure especially for children pregnancy liver problems or other medicines,NHS Medicines A to Z,https://www.nhs.uk/medicines/loratadine/,12/06/2026,nhs_url_matched_needs_text_review,Non-drowsy antihistamine
fexofenadine,Allevia;Telfast;Allegra,allergy symptoms such as sneezing itchy eyes runny nose and hives,Ask a pharmacist or doctor if you are unsure especially for children pregnancy kidney problems or if symptoms continue,NHS Medicines A to Z,https://www.nhs.uk/medicines/fexofenadine/,12/06/2026,nhs_url_matched_needs_text_review,Non-drowsy antihistamine
chlorphenamine,Piriton;Allerief;Hayleve,allergy symptoms such as hay fever hives and itching,May cause drowsiness. Ask a pharmacist if unsure especially for children pregnancy or other medicines,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/chlorphenamine-maleate/,12/06/2026,bnf_url_matched_needs_text_review,Sedating antihistamine
diphenhydramine,Benadryl;Nytol,allergy symptoms or short-term sleep problems depending on product,May cause drowsiness. Ask a pharmacist if unsure and do not mix with alcohol or other sedating medicines,NHS Medicines A to Z,https://www.nhs.uk/medicines/diphenhydramine/,12/06/2026,nhs_url_matched_needs_text_review,Sedating antihistamine
promethazine,Phenergan,allergies nausea travel sickness or short-term sleep problems depending on product,May cause drowsiness. Ask a pharmacist if unsure and avoid alcohol or sedating medicines,NHS Medicines A to Z,https://www.nhs.uk/medicines/promethazine/,12/06/2026,nhs_url_matched_needs_text_review,Sedating antihistamine
omeprazole,Losec;Prilosec,reducing stomach acid and helping with heartburn reflux and ulcers,Ask a pharmacist or doctor if symptoms continue or if you take other medicines,NHS Medicines A to Z,https://www.nhs.uk/medicines/omeprazole/,12/06/2026,nhs_url_matched_needs_text_review,Proton pump inhibitor
lansoprazole,Zoton;Prevacid,reducing stomach acid and helping with heartburn reflux and ulcers,Ask a pharmacist or doctor if symptoms continue or if you take other medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/lansoprazole/,12/06/2026,nhs_url_matched_needs_text_review,Proton pump inhibitor
esomeprazole,Nexium,reducing stomach acid and helping with heartburn reflux and ulcers,Ask a pharmacist or doctor if symptoms continue or if you take other medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/esomeprazole/,12/06/2026,nhs_url_matched_needs_text_review,Proton pump inhibitor
pantoprazole,Protonix,lowering stomach acid and helping with reflux heartburn and ulcers,Ask a pharmacist or doctor if symptoms continue or if you take other medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/pantoprazole/,12/06/2026,nhs_url_matched_needs_text_review,Proton pump inhibitor
famotidine,Pepcid,lowering stomach acid and helping with reflux heartburn and ulcers,Ask a pharmacist or doctor if symptoms continue or if you take other medicines,BNF Drugs A to Z,https://bnf.nice.org.uk/drugs/famotidine/,12/06/2026,bnf_url_matched_needs_text_review,H2 blocker
ranitidine,Zantac,lowering stomach acid,This medicine has been withdrawn or restricted in many places. Ask a pharmacist or doctor before using. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/ranitidine/,12/06/2026,nhs_url_matched_needs_text_review,H2 blocker historical brand
gaviscon,Gaviscon,heartburn indigestion and acid reflux,Ask a pharmacist if symptoms continue or if you take other medicines. See the patient information leaflet for additional safety information.,NHS Medicines A to Z,https://www.nhs.uk/medicines/gaviscon/,12/06/2026,nhs_url_matched_needs_text_review,Alginate antacid
